CEDAR
Epoch [199/200], Loss: 0.0264 ;  Train Accuracy: 94.14% ; Test Accuracy: 98.44%
Epoch [200/200], Loss: 0.0166 ;  Train Accuracy: 97.27% ; Test Accuracy: 96.88%
Best acc: 1.0 with corresponding loss: 0.011945828319824159


BHSig260-Hindi-refactored
Epoch [51/80], Loss: 0.0035 ;  Train Accuracy: 99.19% ; Test Accuracy: 98.67%
Epoch [52/80], Loss: 0.0029 ;  Train Accuracy: 99.38% ; Test Accuracy: 98.55%
…
Epoch [76/80], Loss: 0.0013 ;  Train Accuracy: 99.67% ; Test Accuracy: 98.03%
Epoch [77/80], Loss: 0.0028 ;  Train Accuracy: 99.61% ; Test Accuracy: 98.26%
Epoch [78/80], Loss: 0.0025 ;  Train Accuracy: 99.49% ; Test Accuracy: 98.32%
Epoch [79/80], Loss: 0.0015 ;  Train Accuracy: 99.52% ; Test Accuracy: 98.38%
Epoch [80/80], Loss: 0.0044 ;  Train Accuracy: 99.02% ; Test Accuracy: 98.38%
Best acc: 0.9866898148148148 with corresponding loss: 0.0035135041042440524


BHSig260-Bengali-refactored
Epoch [76/80], Loss: 0.0006 ;  Train Accuracy: 99.91% ; Test Accuracy: 99.35%
Epoch [77/80], Loss: 0.0026 ;  Train Accuracy: 99.54% ; Test Accuracy: 98.43%
Epoch [78/80], Loss: 0.0019 ;  Train Accuracy: 99.56% ; Test Accuracy: 99.35%
Epoch [79/80], Loss: 0.0025 ;  Train Accuracy: 99.79% ; Test Accuracy: 99.54%
Epoch [80/80], Loss: 0.0023 ;  Train Accuracy: 99.68% ; Test Accuracy: 99.35%
Best acc: 0.9953703703703703 with corresponding loss: 0.0024775183695552455
