CEDAR
Epoch [200/200], Loss: 0.0003 ;  Train Accuracy: 100.00% ; Test Accuracy: 81.25%
Best acc: 0.8125 with corresponding loss: 0.0021434711213288438


Samara Inverse с аугментациями
Epoch [154/200], Loss: 0.0271 ;  Train Accuracy: 95.31% ; Test Accuracy: 95.31%
Epoch [155/200], Loss: 0.0353 ;  Train Accuracy: 93.75% ; Test Accuracy: 93.75%
….
Epoch [192/200], Loss: 0.0259 ;  Train Accuracy: 95.70% ; Test Accuracy: 92.19%
Epoch [193/200], Loss: 0.0137 ;  Train Accuracy: 97.27% ; Test Accuracy: 92.19%
Epoch [194/200], Loss: 0.0257 ;  Train Accuracy: 95.70% ; Test Accuracy: 89.06%
Epoch [195/200], Loss: 0.0133 ;  Train Accuracy: 98.83% ; Test Accuracy: 87.50%
Epoch [196/200], Loss: 0.0133 ;  Train Accuracy: 98.44% ; Test Accuracy: 87.50%
Epoch [197/200], Loss: 0.0172 ;  Train Accuracy: 98.05% ; Test Accuracy: 90.62%
Epoch [198/200], Loss: 0.0230 ;  Train Accuracy: 96.48% ; Test Accuracy: 90.62%
Epoch [199/200], Loss: 0.0142 ;  Train Accuracy: 98.83% ; Test Accuracy: 90.62%
Epoch [200/200], Loss: 0.0113 ;  Train Accuracy: 98.44% ; Test Accuracy: 90.62%
Best acc: 0.953125 with corresponding loss: 0.02713626581112294


SAMARA INVERSE без аугментаций


BHSig260-Hindi-refactored
Epoch [48/50], Loss: 0.0659 ;  Train Accuracy: 74.32% ; Test Accuracy: 66.78%
Epoch [49/50], Loss: 0.0675 ;  Train Accuracy: 73.22% ; Test Accuracy: 68.69%
Epoch [50/50], Loss: 0.0668 ;  Train Accuracy: 73.77% ; Test Accuracy: 70.14%
Best acc: 0.7019675925925926 with corresponding loss: 0.06702033514200055


BHSig260-Bengali-refactored
Epoch [57/60], Loss: 0.0662 ;  Train Accuracy: 74.77% ; Test Accuracy: 75.56%
Epoch [58/60], Loss: 0.0660 ;  Train Accuracy: 74.72% ; Test Accuracy: 74.44%
Epoch [59/60], Loss: 0.0667 ;  Train Accuracy: 73.68% ; Test Accuracy: 71.39%
Epoch [60/60], Loss: 0.0661 ;  Train Accuracy: 74.79% ; Test Accuracy: 72.41%
Best acc: 0.7620370370370371 with corresponding loss: 0.06800894424388254
